alcaldia,poblacion
Cuauhtémoc,531831
Miguel Hidalgo,372889
Venustiano Carranza,430978
Álvaro Obregón,727034
Azcapotzalco,414711
Benito Juárez,385439
Coyoacán,620416
Cuajimalpa de Morelos,186391
Gustavo A Madero,1185772
Iztacalco,384326
Iztapalapa,1815786
La Magdalena Contreras,239086
Milpa Alta,130582
Tláhuac,360265
Tlalpan,650567
Xochimilco,415007
